step,beta,gamma,rho,distance,accepted_move,chain_id,epsilon_quantile,proposal_factor
1210,0.1869595759625806,0.113716507740799,0.3368864969643267,0.8396903720888327,0,0,0.75,0.9
3790,0.170264212815955,0.117521913008181,0.3336530598302267,0.8600765507482258,0,3,0.75,0.9
8870,0.1874507307304489,0.1116432925729578,0.3460527626595165,0.8080416611492491,1,2,0.75,0.9
2700,0.1959268201318824,0.0756233532873728,0.3557369634673774,0.7522821339118574,1,2,0.75,0.9
9645,0.1358146440718308,0.0960707157366793,0.2668810764261244,0.7767324034209465,1,0,0.75,0.9
8020,0.1686197926686113,0.0596422906494531,0.3059579338121484,0.8665234461536538,1,0,0.75,0.9
1590,0.1653331225077962,0.0961146283790876,0.3131995164587567,0.4085003101900844,0,3,0.75,0.9
4940,0.1884727051104987,0.0926353668449533,0.2919431213819977,0.8639149735305155,0,1,0.75,0.9
5895,0.1690423403312021,0.0746707317615791,0.2821797204107894,0.5289679615425263,0,0,0.75,0.9
7260,0.1543248218460581,0.0626552174110977,0.3313673148770302,0.8010175681066938,0,3,0.75,0.9
6810,0.1773671673289852,0.1130689005850055,0.3934445114610475,0.8862927329225516,0,2,0.75,0.9
5690,0.1779636023868165,0.0689690240677114,0.3515572211400536,0.6972989575386428,0,0,0.75,0.9
2330,0.1692596397411355,0.1108797000692332,0.3031726267004166,0.7661470627290995,0,0,0.75,0.9
5575,0.1845654419595127,0.1015219767411687,0.2887674642287192,0.8581979054062512,0,0,0.75,0.9
6565,0.1468465936070227,0.0750669513177199,0.2771778194882153,0.2388809279288821,1,0,0.75,0.9
1085,0.1560304503906311,0.086914396578255,0.302489381333901,0.2552293565297816,0,3,0.75,0.9
9385,0.1485753416313358,0.0703257154685836,0.2668178643580912,0.4588501191225959,1,1,0.75,0.9
6725,0.1820684167578266,0.0749165561246697,0.3241926339818105,0.7175762573125569,0,3,0.75,0.9
7035,0.1650844160896849,0.1105219343200774,0.2796605858231052,0.852587128359764,0,2,0.75,0.9
6205,0.1798105681899624,0.1103169684515043,0.3250317482251627,0.9024026573436402,0,0,0.75,0.9
6475,0.1797772481101913,0.103655975169074,0.3982974724107639,0.871612740397888,1,1,0.75,0.9
5125,0.1887736141977093,0.0717807834533866,0.3342921463421674,0.8929187999848673,0,3,0.75,0.9
5645,0.1848282608471107,0.115106326851328,0.3647538107423004,0.8698215236380541,0,2,0.75,0.9
5155,0.1470896269329256,0.1018534350297228,0.27821459972065,0.6126644671791639,0,1,0.75,0.9
2195,0.1573392248362553,0.063962354207155,0.2586348664220208,0.8267032696681541,0,0,0.75,0.9
6930,0.1791138989894241,0.0839463830664754,0.3341532192684938,0.2962126046333038,1,0,0.75,0.9
1415,0.1525223127457685,0.0824559853100117,0.3287432571298505,0.6066282543538256,1,1,0.75,0.9
6915,0.1749685921764003,0.1074439465372486,0.2779077268151685,0.863542382704665,0,3,0.75,0.9
4795,0.1593810549099003,0.0707608312785447,0.3113670636830886,0.4934029835924701,0,0,0.75,0.9
5525,0.1760799097973202,0.0894759193655267,0.37875887163694,0.5439806391778509,1,2,0.75,0.9
4450,0.1434153679022008,0.0753883964099361,0.3063292126570367,0.4733649414794736,0,0,0.75,0.9
3985,0.1335972303811169,0.0757279149732004,0.2731509819292699,0.7633346882795595,0,1,0.75,0.9
3620,0.1727250911212738,0.1130907139955093,0.3006518230856536,0.8726976728044912,0,3,0.75,0.9
4430,0.1426590102440744,0.0872640784865582,0.2529312747707547,0.5931794338244305,0,2,0.75,0.9
2100,0.178468123486289,0.0939570802994001,0.3005962078492199,0.5764134999602196,1,1,0.75,0.9
6410,0.1657267341746648,0.0722785481648071,0.332515511068346,0.4621277835831409,0,3,0.75,0.9
9790,0.1378952990218586,0.102712950123788,0.2610078200000107,0.8451298087367868,1,2,0.75,0.9
9060,0.1481533486934789,0.0773591861665601,0.2130394083814018,0.8518106515638809,0,3,0.75,0.9
9770,0.1698016125350986,0.0800403216119433,0.3347197166531126,0.440521419764816,0,1,0.75,0.9
3980,0.1745438678069187,0.0763225209207265,0.2662512467957899,0.8154098926694889,0,2,0.75,0.9
4580,0.1636915380499868,0.0830455248035848,0.3141653366193344,0.1115713688960151,0,3,0.75,0.9
5460,0.1500670657300051,0.1031042232041284,0.3132649988404957,0.7925531080958189,0,1,0.75,0.9
9750,0.1621685128137667,0.0704744349364127,0.3060230420887947,0.4210554980016139,1,3,0.75,0.9
7365,0.1574919009741997,0.0630397007753676,0.3312634009672387,0.7855009296414515,0,2,0.75,0.9
2300,0.1779771780246889,0.1046397537965395,0.3331253547569938,0.6375349201665805,1,2,0.75,0.9
4750,0.1573347278710528,0.1046879232283888,0.2567176734671748,0.8472412374400824,1,3,0.75,0.9
9895,0.1690363298170012,0.1181442472079231,0.3341432762260679,0.8429577024578551,0,0,0.75,0.9
1595,0.189899108228839,0.1027917457085329,0.3950436228034207,0.8585029084749429,1,2,0.75,0.9
9585,0.173724554715018,0.0769484334853649,0.3304458187538828,0.4162412250046884,1,3,0.75,0.9
6585,0.1803278911506282,0.0777423536710415,0.3397804125928206,0.6169810436077515,0,3,0.75,0.9
5730,0.1609214594270845,0.1136111472125035,0.3018815078798726,0.8049595730427493,1,0,0.75,0.9
4325,0.1914377090827224,0.1029716146664682,0.3689566578782309,0.7234111132194634,0,1,0.75,0.9
6330,0.2035224359905713,0.1106764718053768,0.3625181103477815,0.86068583116475,0,2,0.75,0.9
6375,0.2025632106773454,0.092992583180446,0.4133554344603722,0.7809601294817967,1,0,0.75,0.9
5165,0.2015086292235457,0.0716838549763023,0.3483870602099586,0.8774277710925728,0,3,0.75,0.9
2545,0.1535541324926266,0.0808072527932682,0.3140433062842667,0.2452874401274426,1,0,0.75,0.9
2240,0.2004616583502285,0.1090148081524491,0.3842485284106502,0.8587805071998256,1,2,0.75,0.9
6780,0.1619553432446774,0.0927131190247242,0.3571984076466727,0.6576559589787114,1,2,0.75,0.9
4825,0.1898614526648619,0.0972694973470049,0.3653283088520224,0.6373629606329593,1,2,0.75,0.9
4835,0.1545451852207493,0.1085910929682901,0.3150753663693003,0.8457439189685019,1,0,0.75,0.9
8160,0.1546606306991194,0.0649844217284398,0.3195561017812699,0.6776061165334033,0,0,0.75,0.9
5025,0.1797482671282898,0.0923456545429232,0.3575987807687592,0.5298078924810574,1,3,0.75,0.9
2415,0.1925348720023128,0.0978339330464783,0.3502264854108134,0.6740134773889794,0,0,0.75,0.9
6610,0.1984332064364103,0.098763427037947,0.3395662212323064,0.837186668286225,0,0,0.75,0.9
8230,0.1894929512781727,0.09667371834998,0.3913347852737714,0.6572176275094163,0,1,0.75,0.9
1580,0.1247065893556167,0.0676633020475456,0.2275856518905487,0.8814095713397727,0,0,0.75,0.9
5350,0.1717573539342147,0.1210968619603042,0.3276820868056256,0.8691097182722214,0,3,0.75,0.9
1455,0.1673027498092473,0.0773424488520951,0.3032550691474091,0.3013425583381235,0,2,0.75,0.9
3460,0.1480702119616357,0.0692938711359552,0.333397660947491,0.7152794776134103,0,0,0.75,0.9
8640,0.144437479933966,0.0782618242690574,0.2409292259926961,0.5539916355798681,0,3,0.75,0.9
8830,0.187260648372923,0.1016116878124317,0.3856660448970794,0.7896958393284514,0,2,0.75,0.9
6015,0.1835125391018162,0.0950569126423389,0.3420821381259494,0.5085287901091402,1,3,0.75,0.9
9150,0.164753124074606,0.0796175052513846,0.352988482399848,0.4140288962145921,1,3,0.75,0.9
9945,0.1472184268725749,0.0991251960991399,0.3216773031268478,0.7838070933770983,1,2,0.75,0.9
4935,0.195783649160841,0.1052128678646042,0.3529051705885117,0.8115927416366969,1,1,0.75,0.9
7655,0.1833610086562067,0.0952086670647801,0.3733205787049545,0.5775725367235687,0,0,0.75,0.9
7065,0.1874262743760755,0.0764183408554462,0.3025830156534629,0.7877772011280129,1,0,0.75,0.9
1790,0.139187826569136,0.0944950218493716,0.2171421279849372,0.8132704739655929,0,3,0.75,0.9
4815,0.1474835131642763,0.1004384703624591,0.3249056631018481,0.7904001298984495,0,3,0.75,0.9
7035,0.1931065311466115,0.1169337279608221,0.3621766096966048,0.899709824234519,1,3,0.75,0.9
